observation_date,CHNCPIALLMINMEI
2009-01-01,84.711200000000005
2009-02-01,84.711200000000005
2009-03-01,84.457070000000002
2009-04-01,84.288150000000002
2009-05-01,84.035290000000003
2009-06-01,83.615110000000001
2009-07-01,83.615110000000001
2009-08-01,84.033190000000005
2009-09-01,84.369320000000002
2009-10-01,84.287030000000001
2009-11-01,84.540660000000003
2009-12-01,85.386139999999997
2010-01-01,85.893419999999978
2010-02-01,86.929140000000004
2010-03-01,86.316170000000000
2010-04-01,86.492310000000003
2010-05-01,86.407759999999996
2010-06-01,85.886380000000003
2010-07-01,86.231619999999978
2010-08-01,86.745949999999993
2010-09-01,87.267330000000001
2010-10-01,87.880300000000005
2010-11-01,88.845550000000003
2010-12-01,89.289430000000010
2011-01-01,90.184229999999999
2011-02-01,91.337170000000000
2011-03-01,91.153829999999999
2011-04-01,91.245500000000007
2011-05-01,91.337170000000000
2011-06-01,91.612170000000006
2011-07-01,92.014049999999997
2011-08-01,92.275450000000006
2011-09-01,92.711129999999997
2011-10-01,92.798259999999999
2011-11-01,92.623990000000006
2011-12-01,92.885390000000001
2012-01-01,94.279550000000000
2012-02-01,94.192409999999995
2012-03-01,94.366680000000002
2012-04-01,94.279550000000000
2012-05-01,94.018140000000002
2012-06-01,93.495339999999999
2012-07-01,93.582470000000001
2012-08-01,94.192999999999998
2012-09-01,94.482110000000006
2012-10-01,94.383380000000002
2012-11-01,94.540949999999995
2012-12-01,95.236609999999999
2013-01-01,96.188550000000006
2013-02-01,97.246269999999996
2013-03-01,96.371889999999993
2013-04-01,96.562420000000003
2013-05-01,95.984059999999999
2013-06-01,95.984059999999999
2013-07-01,96.078969999999998
2013-08-01,96.562280000000001
2013-09-01,97.331869999999995
2013-10-01,97.429599999999994
2013-11-01,97.331800000000001
2013-12-01,97.623800000000003
2014-01-01,98.599999999999994
2014-02-01,99.099999999999994
2014-03-01,98.599999999999994
2014-04-01,98.200000000000003
2014-05-01,98.299999999999997
2014-06-01,98.200000000000003
2014-07-01,98.200000000000003
2014-08-01,98.400000000000006
2014-09-01,98.900000000000006
2014-10-01,98.900000000000006
2014-11-01,98.599999999999994
2014-12-01,99.000000000000000
2015-01-01,99.299999999999997
2015-02-01,100.500000000000000
2015-03-01,99.900000000000006
2015-04-01,99.700000000000003
2015-05-01,99.500000000000000
2015-06-01,99.500000000000000
2015-07-01,99.900000000000006
2015-08-01,100.400000000000006
2015-09-01,100.500000000000000
2015-10-01,100.099999999999994
2015-11-01,100.099999999999994
2015-12-01,100.599999999999994
2016-01-01,101.099999999999994
2016-02-01,102.700000000000003
2016-03-01,102.200000000000003
2016-04-01,102.000000000000000
2016-05-01,101.599999999999994
2016-06-01,101.400000000000006
2016-07-01,101.599999999999994
2016-08-01,101.700000000000003
2016-09-01,102.400000000000006
2016-10-01,102.299999999999997
2016-11-01,102.400000000000006
2016-12-01,102.599999999999994
2017-01-01,103.700000000000003
2017-02-01,103.500000000000000
2017-03-01,103.200000000000003
2017-04-01,103.200000000000003
2017-05-01,103.299999999999997
2017-06-01,103.099999999999994
2017-07-01,103.000000000000000
2017-08-01,103.500000000000000
2017-09-01,104.099999999999994
2017-10-01,104.200000000000003
2017-11-01,104.200000000000003
2017-12-01,104.500000000000000
2018-01-01,105.200000000000003
2018-02-01,106.500000000000000
2018-03-01,105.299999999999997
2018-04-01,105.099999999999994
2018-05-01,104.900000000000006
2018-06-01,104.900000000000006
2018-07-01,105.200000000000003
2018-08-01,105.900000000000006
2018-09-01,106.599999999999994
2018-10-01,106.799999999999997
2018-11-01,106.400000000000006
2018-12-01,106.500000000000000
2019-01-01,107.000000000000000
2019-02-01,108.099999999999994
2019-03-01,107.700000000000003
2019-04-01,107.799999999999997
2019-05-01,107.799999999999997
2019-06-01,107.700000000000003
2019-07-01,108.099999999999994
2019-08-01,108.900000000000006
2019-09-01,109.799999999999997
2019-10-01,110.799999999999997
2019-11-01,111.200000000000003
2019-12-01,111.200000000000003
2020-01-01,112.799999999999997
2020-02-01,113.700000000000003
2020-03-01,112.299999999999997
2020-04-01,111.299999999999997
2020-05-01,110.400000000000006
2020-06-01,110.400000000000006
2020-07-01,110.000000000000000
2020-08-01,111.500000000000000
2020-09-01,111.700000000000003
2020-10-01,111.400000000000006
2020-11-01,110.700000000000003
2020-12-01,111.500000000000000
2021-01-01,112.549999999999997
2021-02-01,113.219300000000004
2021-03-01,112.661500000000004
2021-04-01,112.326899999999995
2021-05-01,112.215400000000002
2021-06-01,111.769199999999998
2021-07-01,112.103800000000007
2021-08-01,112.215400000000002
2021-09-01,112.215400000000002
2021-10-01,112.996200000000002
2021-11-01,113.442400000000006
2021-12-01,113.107699999999994
2022-01-01,113.665499999999994
2022-02-01,114.334699999999998
2022-03-01,114.334699999999998
2022-04-01,114.780900000000003
2022-05-01,114.557800000000000
2022-06-01,114.557800000000000
2022-07-01,115.115600000000001
2022-08-01,115.004000000000005
2022-09-01,115.338700000000003
2022-10-01,115.450199999999995
2022-11-01,115.227099999999993
2022-12-01,115.115600000000001
2023-01-01,116.007900000000006
2023-02-01,115.450199999999995
2023-03-01,115.115600000000001
2023-04-01,114.892499999999998
2023-05-01,114.780900000000003
2023-06-01,114.557800000000000
2023-07-01,114.780900000000003
2023-08-01,115.115600000000001
2023-09-01,115.338700000000003
2023-10-01,115.227099999999993
2023-11-01,114.669399999999996
2023-12-01,114.780900000000003
2024-01-01,115.004000000000005
2024-02-01,116.230999999999995
2024-03-01,115.227099999999993
2024-04-01,115.115600000000001
2024-05-01,115.115600000000001
2024-06-01,114.780900000000003
2024-07-01,115.338700000000003
2024-08-01,115.784800000000004
2024-09-01,115.784800000000004
2024-10-01,115.561700000000002
2024-11-01,114.892499999999998
2024-12-01,114.892499999999998
